"PPLOT","CANHT86","CANHT87","CANHT98","CANHT10"
4,13.7911111111111,NA,14.1718818025,11.665
5,12.3838461538462,NA,14.6913979273846,15.57875
6,12.40625,NA,12.7777777777778,15.606
7,11.2742105263158,NA,11.5911764705882,11.1683333333333
8,12.4797959183673,NA,12.740625,14.915
9,9.88653846153846,NA,11.3769230769231,8.21
10,12.4007142857143,NA,12.9571428571429,12.7933333333333
11,11.9078571428571,NA,12.6111111111111,8.77142857142857
12,11.8604761904762,NA,12.425641025641,12.8166666666667
13,5.74644859813084,NA,6.78243243243243,7.86875
14,5.704,NA,7.42714285714286,8.72473684210526
15,8.18,NA,8.672,10.196
16,NA,12.9764705882353,12.9764705882353,13.336
17,NA,14,16.3385587968824,15.9271428571429
18,NA,11.4333333333333,13.3041456121852,11.4242857142857
19,NA,10.975,12.49375,12.7971428571429
20,NA,11.2833333333333,12.748275862069,14.925
21,NA,10.2,13.5,12.1975
22,NA,10.8266666666667,10.8266666666667,12.2828571428571
23,NA,12.9,11.2944444444444,13.2266666666667
24,NA,11.9,11.9952380952381,9.945
25,NA,5.725,7.77875,8.55411764705882
26,NA,9.16666666666667,10.1772727272727,10.084
27,NA,10.95,11.175,11.5716666666667
