"install","plot","a0","a1","a2"
1,10,10.4604739568184,-0.516405800560497,-13.6349785193196
1,16,15.5279809121731,-1.21799794127956,-18.838417187601
2,6,13.441876078209,-0.96147636238101,-14.0872741446404
2,11,30.1536718253347,-3.19177789313893,NA
3,1,11.1725113947238,-0.606024142123809,-44.386439886947
3,15,10.6777729792228,-0.550466108272178,166.030848289149
4,1,7.90836621229386,-0.168537131265404,-33.2967580565328
4,17,7.32489949224444,-0.129112389617972,60.1315160076747
5,8,10.9380852238331,-0.58524451860484,-861.658272772019
5,10,13.0334347436534,-0.883517676576263,-2838.57199473052
7,6,9.79475769662301,-0.411335765710294,-39.7365655962249
7,8,10.7514983591184,-0.539930890720416,-22.0203275917561
8,1,9.54786169284653,-0.41800442855009,-94423112.875946
8,14,8.93420019525929,-0.268848894099844,85.3020284771939
10,1,9.53446791838593,-0.372027662196891,-22.5859544682993
10,2,10.7934047908891,-0.554569490455495,-24.9175127820494
14,5,17.2438722603114,-1.43764329341111,-154015094.175099
14,7,16.9279609925901,-1.34070611745114,-7.66314020049006
16,2,21.958755448402,-2.05544046324085,-131.838799417185
16,6,10.348279655189,-0.497318639046469,-20.2278634632724
19,1,10.7455474489782,-0.474120931887874,-2009085487.14315
19,5,8.61764647614598,-0.233622000394382,146.034212327677
22,10,10.1029178474155,-0.492261075980771,-49.916608924534
22,13,11.5716361086281,-0.611713867560084,630.179964555091
38,15,9.48535463241578,-0.326727185983791,-666392566.159128
38,16,8.713635243897,-0.187289177438001,-29.4061109152124
40,1,8.31011658689313,-0.305415285068548,-11050.0101263317
40,29,13.4121565543915,-0.994852408000599,366.915371706841
51,1,17.1446124241781,-1.51059315086553,192.580979530867
51,3,15.8217903784239,-1.48032724427459,-13934.7012629822
52,4,13.903787946001,-1.00280423541441,-60.9588620718531
52,5,11.1308976030631,-0.637873418918091,1475.59102234755
53,2,15.8454248472043,-1.18991128687248,395.353694581561
53,4,11.8668622956412,-0.683521444880457,-875877455.258945
54,1,13.2007748485049,-0.891875432647508,60.8922141982669
54,4,8.84778256536252,-0.388515089563001,-28.2638071864187
65,5,9.86861554724011,-0.408359606604545,-469.297504884816
65,6,12.0549877062003,-0.706771444983889,156.138826417235
70,1,10.847671210474,-0.55608999024679,-822.729237259093
70,8,9.21296804738564,-0.368462872051051,-4888.61067671866
71,11,15.6489276400766,-1.20559554990851,238.986541044085
71,14,15.1348040427061,-1.12896838771864,-111.038392098029
72,2,11.6580546796552,-0.626756842328626,481.658662440149
72,14,11.2230661875567,-0.533459019440069,94.5945190631295
